threshold,rewiring_probability,strategy,mean_final_adoption_share,std_final_adoption_share,mean_final_adoption_count,mean_steps_until_stable,cascade_rate,mean_average_clustering,mean_average_degree,number_of_runs
0.05,0.0,clustered,1.0,0.0,500.0,124.0,1.0,0.6428571428571429,8.0,50
0.05,0.0,high_degree,1.0,0.0,500.0,126.0,1.0,0.6428571428571429,8.0,50
0.05,0.01,clustered,1.0,0.0,500.0,33.6,1.0,0.6262239365079365,8.0,50
0.05,0.01,high_degree,1.0,0.0,500.0,21.64,1.0,0.6262239365079365,8.0,50
0.05,0.05,clustered,1.0,0.0,500.0,15.96,1.0,0.5560889494949495,8.0,50
0.05,0.05,high_degree,1.0,0.0,500.0,12.64,1.0,0.5560889494949495,8.0,50
0.05,0.1,clustered,1.0,0.0,500.0,12.92,1.0,0.47624890354090355,8.0,50
0.05,0.1,high_degree,1.0,0.0,500.0,10.64,1.0,0.47624890354090355,8.0,50
0.05,0.2,clustered,1.0,0.0,500.0,10.6,1.0,0.3439572423132423,8.0,50
0.05,0.2,high_degree,1.0,0.0,500.0,9.84,1.0,0.3439572423132423,8.0,50
0.05,0.4,clustered,1.0,0.0,500.0,9.92,1.0,0.15155740415140412,8.0,50
0.05,0.4,high_degree,1.0,0.0,500.0,8.2,1.0,0.15155740415140412,8.0,50
0.05,0.8,clustered,1.0,0.0,500.0,8.68,1.0,0.019103238957121255,8.0,50
0.05,0.8,high_degree,1.0,0.0,500.0,8.0,1.0,0.019103238957121255,8.0,50
0.05,1.0,clustered,1.0,0.0,500.0,8.48,1.0,0.0138149672401901,8.0,50
0.05,1.0,high_degree,1.0,0.0,500.0,8.04,1.0,0.0138149672401901,8.0,50
0.1,0.0,clustered,1.0,0.0,500.0,124.0,1.0,0.6428571428571429,8.0,50
0.1,0.0,high_degree,1.0,0.0,500.0,126.0,1.0,0.6428571428571429,8.0,50
0.1,0.01,clustered,1.0,0.0,500.0,33.6,1.0,0.6262239365079365,8.0,50
0.1,0.01,high_degree,1.0,0.0,500.0,21.64,1.0,0.6262239365079365,8.0,50
0.1,0.05,clustered,1.0,0.0,500.0,16.04,1.0,0.5560889494949495,8.0,50
0.1,0.05,high_degree,1.0,0.0,500.0,12.64,1.0,0.5560889494949495,8.0,50
0.1,0.1,clustered,1.0,0.0,500.0,13.0,1.0,0.47624890354090355,8.0,50
0.1,0.1,high_degree,1.0,0.0,500.0,10.64,1.0,0.47624890354090355,8.0,50
0.1,0.2,clustered,1.0,0.0,500.0,10.76,1.0,0.3439572423132423,8.0,50
0.1,0.2,high_degree,1.0,0.0,500.0,9.84,1.0,0.3439572423132423,8.0,50
0.1,0.4,clustered,1.0,0.0,500.0,10.0,1.0,0.15155740415140412,8.0,50
0.1,0.4,high_degree,1.0,0.0,500.0,8.6,1.0,0.15155740415140412,8.0,50
0.1,0.8,clustered,1.0,0.0,500.0,9.64,1.0,0.019103238957121255,8.0,50
0.1,0.8,high_degree,1.0,0.0,500.0,8.04,1.0,0.019103238957121255,8.0,50
0.1,1.0,clustered,1.0,0.0,500.0,9.72,1.0,0.0138149672401901,8.0,50
0.1,1.0,high_degree,1.0,0.0,500.0,8.08,1.0,0.0138149672401901,8.0,50
0.15,0.0,clustered,1.0,0.0,500.0,164.4,1.0,0.6428571428571429,8.0,50
0.15,0.0,high_degree,1.0,0.0,500.0,166.0,1.0,0.6428571428571429,8.0,50
0.15,0.01,clustered,1.0,0.0,500.0,157.52,1.0,0.6262239365079365,8.0,50
