run_id,repetition,network_seed,seeding_seed,strategy,n,k,rewiring_probability,average_clustering,average_degree,threshold,seed_size,max_steps,steps_until_stable,reached_max_steps,final_adoption_count,final_adoption_share,cascade_happened,initial_seeds
0,0,42,42,clustered,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,124,False,500,1.0,True,"327,326,323,322,328,335,333,325,324,319"
1,0,42,1042,high_degree,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,126,False,500,1.0,True,"0,1,2,3,4,5,6,7,8,9"
2,1,43,100042,clustered,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,124,False,500,1.0,True,"395,394,393,387,402,403,400,389,399,396"
3,1,43,101042,high_degree,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,126,False,500,1.0,True,"0,1,2,3,4,5,6,7,8,9"
4,2,44,200042,clustered,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,124,False,500,1.0,True,"276,280,283,284,281,275,270,269,278,271"
5,2,44,201042,high_degree,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,126,False,500,1.0,True,"0,1,2,3,4,5,6,7,8,9"
6,3,45,300042,clustered,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,124,False,500,1.0,True,"31,32,39,28,36,34,27,35,37,26"
7,3,45,301042,high_degree,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,126,False,500,1.0,True,"0,1,2,3,4,5,6,7,8,9"
8,4,46,400042,clustered,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,124,False,500,1.0,True,"187,181,188,193,189,184,186,185,182,179"
9,4,46,401042,high_degree,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,126,False,500,1.0,True,"0,1,2,3,4,5,6,7,8,9"
10,5,47,500042,clustered,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,124,False,500,1.0,True,"277,285,280,273,284,274,271,278,276,282"
11,5,47,501042,high_degree,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,126,False,500,1.0,True,"0,1,2,3,4,5,6,7,8,9"
12,6,48,600042,clustered,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,124,False,500,1.0,True,"166,174,160,163,169,170,164,168,167,161"
13,6,48,601042,high_degree,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,126,False,500,1.0,True,"0,1,2,3,4,5,6,7,8,9"
14,7,49,700042,clustered,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,124,False,500,1.0,True,"41,45,34,44,42,40,43,35,36,48"
15,7,49,701042,high_degree,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,126,False,500,1.0,True,"0,1,2,3,4,5,6,7,8,9"
16,8,50,800042,clustered,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,124,False,500,1.0,True,"62,54,69,58,61,63,55,68,56,70"
17,8,50,801042,high_degree,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,126,False,500,1.0,True,"0,1,2,3,4,5,6,7,8,9"
18,9,51,900042,clustered,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,124,False,500,1.0,True,"40,46,44,34,37,42,38,48,41,47"
19,9,51,901042,high_degree,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,126,False,500,1.0,True,"0,1,2,3,4,5,6,7,8,9"
20,10,52,1000042,clustered,500,8,0.0,0.6428571428571429,8.0,0.05,10,500,124,False,500,1.0,True,"156,154,148,152,149,150,157,151,155,161"
